"Word","Shoresh","Binyan","Book","Chapter ","Verse","Parasha",
"לִרְעוֹת ","ר-ע-ה","Paal","Gen.",37,12,"Vayeshev",
"לִשְׁאֹב ","שׁ-א-ב","Paal","Gen.",24,13,"Chayei Sarah",
"לִשְׁבֹּר ","שׁ-ב-ר","Paal","Gen.",19,9,"Vayera",
"לִשְׁחֹט ","שׁ-ח-ט","Paal","Gen.",22,10,"Vayera",
"לִשְׁכַּב ","שׁ-כ-ב","Paal","Gen.",34,7,"Vayishlach",
"לִשְׁתֹּת ","שׁ-ת-ה","Paal","Gen.",24,19,"Chayei Sarah",
"לֵךְ ","ה-ל-ך/י-ל-ך","Paal","Gen.",26,16,"Toledot",
"לֶאֱכָל ","א-כ-ל","Paal","Gen.",31,54,"Vayetze",
"לֶאֱכֹל ","א-כ-ל","Paal","Gen.",24,33,"Chayei Sarah",
"לֶךְ ","ה-ל-ך/י-ל-ך","Paal","Gen.",12,1,"Lech Lecha",
"לַהֲמִיתוֹ ","מ-ו-ת","Hifil","Gen.",37,18,"Vayeshev",
"לָבוֹא ","ב-ו-א","Paal","Gen.",12,11,"Lech Lecha",
"לָגֹז ","ג-ז-ז","Paal","Gen.",38,13,"Vayeshev",
"לָגוּר ","ג-ו-ר","Paal","Gen.",12,10,"Lech Lecha",
"לָלִין ","ל-ו-ן/ל-י-ן","Paal","Gen.",24,23,"Chayei Sarah",
"לָלֶכֶת ","ה-ל-ך/י-ל-ך","Paal","Gen.",11,31,"Noach",
"לָלוּן ","ל-ו-ן/ל-י-ן","Paal","Gen.",24,26,"Chayei Sarah",
"לָן ","ל-ו-ן/ל-י-ן","Paal","Gen.",32,22,"Vayishlach",
"לָנוּס ","נ-ו-ס","Paal","Gen.",19,20,"Vayera",
"לָצוּד ","צ-ו-ד","Paal","Gen.",27,5,"Toledot",
"לָקְחָה ","ל-ק-ח/י-ק-ח","Paal","Gen.",31,34,"Vayetze",
"לָקַחְתָּ ","ל-ק-ח/י-ק-ח","Paal","Gen.",20,3,"Vayera",
"לָקָח ","ל-ק-ח/י-ק-ח","Paal","Gen.",27,36,"Toledot",
"לָקָחוּ ","ל-ק-ח/י-ק-ח","Paal","Gen.",34,28,"Vayishlach",
"לָקוּם ","ק-ו-ם","Paal","Gen.",31,35,"Vayetze",
"לָשֶׁבֶת ","י-שׁ-ב","Paal","Gen.",13,6,"Lech Lecha",
"לָשֵׂאת ","נ-שׂ-א","Paal","Gen.",36,7,"Vayishlach",
"לָשׂוּחַ ","שׂ-ו-ח","Paal","Gen.",24,63,"Chayei Sarah",
"לָתֶת ","נ-ת-ן","Paal","Gen.",15,7,"Lech Lecha",
"לֹקֵחַ ","ל-ק-ח/י-ק-ח","Paal","Gen.",27,46,"Toledot",
"לוּשִׁי ","ל-ו-שׁ","Paal","Gen.",18,6,"Vayera",
"מְאַלְּמִים ","א-ל-ם","Piel","Gen.",37,7,"Vayeshev",
"מְבַקֵּשׁ ","ב-ק-שׁ","Piel","Gen.",37,16,"Vayeshev",
"מְדַבֵּר ","ד-ב-ר","Piel","Gen.",27,6,"Toledot",
"מְכָרָנוּ ","מ-כ-ר","Paal","Gen.",31,15,"Vayetze",
"מְלָךְ ","מ-ל-ך","Paal","Gen.",36,31,"Vayishlach",
"מְצַוָּה ","צ-ו-ה","Piel","Gen.",27,9,"Toledot",
"מְצַחֵק ","צ-ח-ק","Piel","Gen.",21,9,"Vayera",
"מְצָאָהּ ","מ-צ-א","Paal","Gen.",38,20,"Vayeshev",
"מְצָאתִיהָ ","מ-צ-א","Paal","Gen.",38,22,"Vayeshev",
